"entrezids"	"logFC"	"pvalue"	"qvalue"
"260341"	-5.79482	4e-04	0.0209199
"7125"	-8.96915	1e-04	0.00770585
"100874043"	-5.93909	5e-05	0.00458449
"134111"	-797.519	5e-05	0.00458449
"11274"	-3.84052	9e-04	0.0380125
"26609"	-797.519	5e-05	0.00458449
"51481"	-797.519	5e-05	0.00458449
"425054"	-797.519	5e-05	0.00458449
"29802"	-797.519	5e-05	0.00458449
"644150"	-4.48561	5e-05	0.00458449
"7481"	-797.519	5e-05	0.00458449
"7476"	-3.10175	0.00025	0.015028
"389668"	-3.76733	0.00095	0.0397764
"7512"	-4.60871	0.00105	0.0421367
"158866"	-4.15596	0.00015	0.0107577
"163087"	-3.33578	4e-04	0.0209199
"10224"	-4.51448	5e-05	0.00458449
"92283"	-3.67332	9e-04	0.0380125
"284385"	-3.74917	5e-04	0.0248918
"126295"	-3.3769	0.00075	0.0339539
"80110"	-4.56189	4e-04	0.0209199
"163223"	-3.84984	5e-05	0.00458449
"374879"	-3.55933	0.00015	0.0107577
"169834"	-797.519	5e-05	0.00458449
